order_item_id,order_number,product_slug,product_name,category_slug,brand,unit_price_cents,quantity,line_total_cents
1,TB-20260901-0001,bramble-organic-cotton-bear,Bramble the Organic Cotton Bear,dolls-plush,Hollow Hill,2999,1,2999
2,TB-20260901-0001,splash-zone-water-table,Splash Zone Water Table,outdoor-active-play,Sunbeam Play,6799,1,6799
3,TB-20260901-0001,backyard-bounce-jumbo-play-ball-set,Backyard Bounce Jumbo Play Ball Set,outdoor-active-play,Rove,2499,1,2499
4,TB-20260901-0001,stargazer-beginner-telescope,Stargazer Beginner Telescope,stem-learning,Northlight,9499,1,9499
5,TB-20260920-0002,trailblazer-wooden-balance-bike,Trailblazer Wooden Balance Bike,outdoor-active-play,Rove,8999,1,8999
6,TB-20260920-0002,woodland-match-memory-game,Woodland Match Memory Game,games-puzzles,Fox & Feather,1799,2,3598
7,TB-20260627-0003,bramble-organic-cotton-bear,Bramble the Organic Cotton Bear,dolls-plush,Hollow Hill,2999,1,2999
8,TB-20260627-0003,codebot-screen-free-coding-robot,CodeBot Screen-Free Coding Robot,stem-learning,Tinker Crew,7999,1,7999
9,TB-20260627-0003,little-kitchen-play-cafe-set,Little Kitchen Play Café Set,dolls-plush,Maple & Moss,5499,1,5499
10,TB-20260616-0004,codebot-screen-free-coding-robot,CodeBot Screen-Free Coding Robot,stem-learning,Tinker Crew,7999,1,7999
11,TB-20260616-0004,stargazer-beginner-telescope,Stargazer Beginner Telescope,stem-learning,Northlight,9499,1,9499
12,TB-20261217-0005,woodland-match-memory-game,Woodland Match Memory Game,games-puzzles,Fox & Feather,1799,1,1799
13,TB-20261217-0005,junior-engineer-nuts-bolts-workshop,Junior Engineer Nuts & Bolts Workshop,building-construction,Tinker Crew,3499,1,3499
14,TB-20261031-0006,backyard-bounce-jumbo-play-ball-set,Backyard Bounce Jumbo Play Ball Set,outdoor-active-play,Rove,2499,2,4998
15,TB-20261031-0006,splash-zone-water-table,Splash Zone Water Table,outdoor-active-play,Sunbeam Play,6799,1,6799
16,TB-20261031-0006,castle-quest-brick-set,Castle Quest Brick Set (480 pieces),building-construction,Blockworks,6499,1,6499
17,TB-20261105-0007,trailblazer-wooden-balance-bike,Trailblazer Wooden Balance Bike,outdoor-active-play,Rove,8999,1,8999
18,TB-20261105-0007,junior-archery-target-set,Junior Archery Target Set (foam-tipped),outdoor-active-play,Rove,3799,1,3799
19,TB-20261105-0007,codebot-screen-free-coding-robot,CodeBot Screen-Free Coding Robot,stem-learning,Tinker Crew,7999,2,15998
20,TB-20261122-0008,backyard-bounce-jumbo-play-ball-set,Backyard Bounce Jumbo Play Ball Set,outdoor-active-play,Rove,2499,1,2499
21,TB-20261105-0009,pocket-pals-mini-plush-set,Pocket Pals Mini Plush Set (6 animals),dolls-plush,Hollow Hill,2199,1,2199
22,TB-20261127-0010,splash-zone-water-table,Splash Zone Water Table,outdoor-active-play,Sunbeam Play,6799,1,6799
23,TB-20260505-0011,bramble-organic-cotton-bear,Bramble the Organic Cotton Bear,dolls-plush,Hollow Hill,2999,1,2999
24,TB-20260505-0011,rocket-race-family-board-game,Rocket Race Family Board Game,games-puzzles,Tabletop Junior,2899,2,5798
25,TB-20260505-0011,meadow-friends-rag-doll-iris,Meadow Friends Rag Doll — Iris,dolls-plush,Hollow Hill,3299,1,3299
26,TB-20260505-0011,alphabet-adventure-magnetic-letters,Alphabet Adventure Magnetic Letters,stem-learning,Little Lane,2299,3,6897
27,TB-20261104-0012,backyard-bounce-jumbo-play-ball-set,Backyard Bounce Jumbo Play Ball Set,outdoor-active-play,Rove,2499,1,2499
28,TB-20261104-0012,woodland-match-memory-game,Woodland Match Memory Game,games-puzzles,Fox & Feather,1799,1,1799
29,TB-20261104-0012,junior-engineer-nuts-bolts-workshop,Junior Engineer Nuts & Bolts Workshop,building-construction,Tinker Crew,3499,2,6998
30,TB-20261226-0013,splash-zone-water-table,Splash Zone Water Table,outdoor-active-play,Sunbeam Play,6799,1,6799
31,TB-20260326-0014,meadow-friends-rag-doll-iris,Meadow Friends Rag Doll — Iris,dolls-plush,Hollow Hill,3299,1,3299
32,TB-20261015-0015,trailblazer-wooden-balance-bike,Trailblazer Wooden Balance Bike,outdoor-active-play,Rove,8999,2,17998
33,TB-20261015-0015,junior-archery-target-set,Junior Archery Target Set (foam-tipped),outdoor-active-play,Rove,3799,2,7598
34,TB-20261219-0016,junior-archery-target-set,Junior Archery Target Set (foam-tipped),outdoor-active-play,Rove,3799,2,7598
35,TB-20260708-0017,codebot-screen-free-coding-robot,CodeBot Screen-Free Coding Robot,stem-learning,Tinker Crew,7999,1,7999
36,TB-20260605-0018,rocket-race-family-board-game,Rocket Race Family Board Game,games-puzzles,Tabletop Junior,2899,1,2899
37,TB-20260915-0019,junior-engineer-nuts-bolts-workshop,Junior Engineer Nuts & Bolts Workshop,building-construction,Tinker Crew,3499,1,3499
38,TB-20260912-0020,deep-sea-200-piece-jigsaw,Deep Sea 200-Piece Jigsaw,games-puzzles,Fox & Feather,1899,1,1899
39,TB-20261106-0021,trailblazer-wooden-balance-bike,Trailblazer Wooden Balance Bike,outdoor-active-play,Rove,8999,2,17998
40,TB-20261106-0021,codebot-screen-free-coding-robot,CodeBot Screen-Free Coding Robot,stem-learning,Tinker Crew,7999,2,15998
41,TB-20261106-0021,rocket-race-family-board-game,Rocket Race Family Board Game,games-puzzles,Tabletop Junior,2899,1,2899
42,TB-20261018-0022,bramble-organic-cotton-bear,Bramble the Organic Cotton Bear,dolls-plush,Hollow Hill,2999,2,5998
43,TB-20261231-0023,deep-sea-200-piece-jigsaw,Deep Sea 200-Piece Jigsaw,games-puzzles,Fox & Feather,1899,2,3798
44,TB-20261231-0023,codebot-screen-free-coding-robot,CodeBot Screen-Free Coding Robot,stem-learning,Tinker Crew,7999,2,15998
45,TB-20261120-0024,rainbow-rise-wooden-block-set,Rainbow Rise Wooden Block Set (100 pieces),building-construction,Maple & Moss,4299,1,4299
46,TB-20261019-0025,magnatile-explorer-starter-pack,MagnaTile Explorer Starter Pack (72 pieces),building-construction,BrightBuild,5999,1,5999
47,TB-20261019-0025,story-cubes-adventure-dice,Story Cubes Adventure Dice,games-puzzles,Tabletop Junior,1299,1,1299
48,TB-20260720-0026,meadow-friends-rag-doll-iris,Meadow Friends Rag Doll — Iris,dolls-plush,Hollow Hill,3299,1,3299
49,TB-20261206-0027,deep-sea-200-piece-jigsaw,Deep Sea 200-Piece Jigsaw,games-puzzles,Fox & Feather,1899,2,3798
50,TB-20261206-0027,trailblazer-wooden-balance-bike,Trailblazer Wooden Balance Bike,outdoor-active-play,Rove,8999,1,8999
51,TB-20261206-0027,codebot-screen-free-coding-robot,CodeBot Screen-Free Coding Robot,stem-learning,Tinker Crew,7999,2,15998
52,TB-20261206-0027,little-kitchen-play-cafe-set,Little Kitchen Play Café Set,dolls-plush,Maple & Moss,5499,1,5499
53,TB-20261022-0028,woodland-match-memory-game,Woodland Match Memory Game,games-puzzles,Fox & Feather,1799,1,1799
54,TB-20261022-0028,story-cubes-adventure-dice,Story Cubes Adventure Dice,games-puzzles,Tabletop Junior,1299,1,1299
55,TB-20260919-0029,dreamlight-nursery-doll-cot,Dreamlight Nursery Doll & Cot,dolls-plush,Little Lane,4499,1,4499
56,TB-20260919-0029,trailblazer-wooden-balance-bike,Trailblazer Wooden Balance Bike,outdoor-active-play,Rove,8999,3,26997
57,TB-20260831-0030,stargazer-beginner-telescope,Stargazer Beginner Telescope,stem-learning,Northlight,9499,2,18998
58,TB-20260709-0031,trailblazer-wooden-balance-bike,Trailblazer Wooden Balance Bike,outdoor-active-play,Rove,8999,2,17998
59,TB-20261128-0032,little-kitchen-play-cafe-set,Little Kitchen Play Café Set,dolls-plush,Maple & Moss,5499,1,5499
